Land,ISO3,Jaar,Risicowaarde,Risiconiveau,Advies
Afghanistan,AFG,2025,1.39,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Algeria,DZA,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Angola,AGO,2025,251.98,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Argentina,ARG,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Armenia,ARM,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Azerbaijan,AZE,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Bangladesh,BGD,2025,0.27,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Belize,BLZ,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Benin,BEN,2025,334.75,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Bhutan,BTN,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Bolivia,BOL,2025,0.32,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Botswana,BWA,2025,0.44,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Brazil,BRA,2025,0.23,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Burkina Faso,BFA,2025,334.03,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Burundi,BDI,2025,321.81,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Cambodia,KHM,2025,0.0,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Cameroon,CMR,2025,251.24,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Cape Verde,CPV,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Central African Republic,CAF,2025,332.76,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
